,doc_id,text,country,year,coding,difficult
AUS_46_1991.txt.15,AUS_46_1991.txt.15,"To the familiar and established topics in this category, such as refugees, famine, debt and the control of nuclear weapons, have now been added issues such as major environmental problems, AIDS and narcotics.",AUS,1991,un,1
AUS_46_1991.txt.16,AUS_46_1991.txt.16,In an increasingly complex world the United Nations is itself becoming an increasingly complex place.,AUS,1991,un,0
AUS_46_1991.txt.17,AUS_46_1991.txt.17,"Those are all issues which this session, under your guidance, Mr. President, will need to address.",AUS,1991,un,1
AUS_46_1991.txt.18,AUS_46_1991.txt.18,"They are also issues which will confront the new Secretary-General, whose appointment will be perhaps the most important decision to be taken at this session.",AUS,1991,un,1
AUS_46_1991.txt.19,AUS_46_1991.txt.19,"This is not to suggest that the Secretary-General is more important than the Organization, but it is a recognition of the vital task the new Secretary-General will fulfil as the United Nations approaches its fiftieth anniversary.",AUS,1991,un,0
AUS_46_1991.txt.20,AUS_46_1991.txt.20,"Much has already been said about the qualities which the new Secretary-General will need to take up the tasks that the United Nations is now able to, and must, address.",AUS,1991,un,0
AUS_46_1991.txt.21,AUS_46_1991.txt.21,"Foremost amongst them must be integrity, an independence of mind and a willingness and desire to serve the United Nations in the interest of the Organisation as a whole.",AUS,1991,un,0
AUS_46_1991.txt.22,AUS_46_1991.txt.22,"The Secretary-General must be a skilled and patient negotiator, with an intuition for the right moment to intervene and with the patience and stamina to bring negotiations to a successful conclusion.",AUS,1991,un,0
AUS_46_1991.txt.23,AUS_46_1991.txt.23,"He or she must provide intellectual leadership in the crafting of imaginative approaches to the multiplicity of problems, old and new, requiring resolution through the United Nations.",AUS,1991,un,0
AUS_46_1991.txt.24,AUS_46_1991.txt.24,"Of course, the Secretary-General cannot develop these ideas working alone; in this, as well as in other responsibilities, he or she must have the managerial capacity to harness fully all the resources and talents of those working in the Secretariat.",AUS,1991,un,0
AUS_46_1991.txt.25,AUS_46_1991.txt.25,"Finally, in an age of mass communications, and with the spread of democracy, he or she must be able effectively to transmit the principles and purposes of the Organisation to a wider public which will provide it with its necessary base of support.",AUS,1991,un,1
AUS_46_1991.txt.26,AUS_46_1991.txt.26,The agenda the Secretary-General faces can be summarized under four broad headings: political and security issues; development issues; humanitarian issues; and United Nations reform.,AUS,1991,un,1
AUS_46_1991.txt.27,AUS_46_1991.txt.27,"That is a daunting collection on which I will offer some thoughts, though certainly not prescriptions.",AUS,1991,un,0
AUS_46_1991.txt.28,AUS_46_1991.txt.28,But before so doing I should place on record Australia's admiration for the determination and wisdom demonstrated by Secretary-General Javier Perez de Cuellar over the past decade.,AUS,1991,un,1
AUS_46_1991.txt.29,AUS_46_1991.txt.29,"He has served the world well through his personal involvement in a number of international issues, including Cyprus, Afghanistan, the Middle East and Iraq-Iran, and through his overall management of the United Nations in times of crisis such as during the recent Gulf war.",AUS,1991,un,0
AUS_46_1991.txt.30,AUS_46_1991.txt.30,He has shepherded the United Nations from confrontation to great-Power cooperation.,AUS,1991,un,0
AUS_46_1991.txt.31,AUS_46_1991.txt.31,Moreover in the past decade the financial situation of the United Nations has improved and there has been an increased preparedness to look to the need for administrative reform.,AUS,1991,un,0
AUS_46_1991.txt.32,AUS_46_1991.txt.32,He can look forward to the completion of his two terms with a sense of very considerable achievement.,AUS,1991,un,1
AUS_46_1991.txt.33,AUS_46_1991.txt.33,When the history of the first 50 years of the United Nations is written I am certain that particular prominence will be given to Mr. Peres de Cuellar's outstanding contribution to the resolution of regional conflicts.,AUS,1991,un,0
AUS_46_1991.txt.34,AUS_46_1991.txt.34,"Those in Cambodia and Namibia are but two examples, where my country has had a particular role and interest.",AUS,1991,un,1
AUS_46_1991.txt.35,AUS_46_1991.txt.35,The new Secretary-General will need to maintain this momentum and build on the pattern of cooperation which has been achieved between the major Powers.,AUS,1991,un,0
AUS_46_1991.txt.36,AUS_46_1991.txt.36,"United Nations representatives have played an outstanding role on Cambodia, and Australia regards with particular satisfaction the results of the meetings of the Cambodian Supreme National Council and the five Permanent members of the Security Council in Thailand in August and here in New York in the past few days.",AUS,1991,un,0
AUS_46_1991.txt.37,AUS_46_1991.txt.37,"The Permanent Five, regional countries including the co-Chairman of the Paris Conference, Indonesia, under the very able guidance of its Foreign Minister Mr. Ali Alatas, and Australia, and the Cambodian parties themselves have all striven long and hard to achieve a peaceful settlement to the Cambodian dispute.",AUS,1991,un,1
AUS_46_1991.txt.38,AUS_46_1991.txt.38,All the signs are now that no obstacles remain to signature of a comprehensive settlement in Paris next month.,AUS,1991,un,1
AUS_46_1991.txt.39,AUS_46_1991.txt.39,"But clearly, once a settlement is thus achieved, the peace will have to be consolidated, and that will be no easy task.",AUS,1991,security,1
AUS_46_1991.txt.40,AUS_46_1991.txt.40,The United Nations will have before it one of its moat complex and costly decisions when the Security Council and then the General Assembly debate plans for the United Nations transitional authority in Cambodia.,AUS,1991,un,0
AUS_46_1991.txt.41,AUS_46_1991.txt.41,"The authority's assignment will be daunting, but it is a mark of the very great distance we, as United Nations Members, have travelled in the last two years that such an undertaking will soon be a reality.",AUS,1991,un,0
AUS_46_1991.txt.42,AUS_46_1991.txt.42,I reaffirm hare Australia's willingness to make a substantial contribution to the authority and to continue to play our role as a facilitator of a lasting peace in Cambodia.,AUS,1991,security,1
AUS_46_1991.txt.43,AUS_46_1991.txt.43,"In the Middle East, there is now a batter prospect than in recent years for significant progress on Arab-Israeli issues as the international conference proposed for October approaches.",AUS,1991,security,0
AUS_46_1991.txt.44,AUS_46_1991.txt.44,"What part the United Nations will play in the continued search for a resolution of the Palestinian question and the Arab-Israeli dispute will be, of course, a matter for the parties themselves to decide.",AUS,1991,security,0
AUS_46_1991.txt.45,AUS_46_1991.txt.45,"It is clear though that the United Nations, and the new Secretary-General in particular, has the potential to play a constructive and valuable role.",AUS,1991,un,0
AUS_46_1991.txt.46,AUS_46_1991.txt.46,"We are also hopeful that the Secretary-General's continued efforts to achieve a settlement of the Cyprus question will bear fruit, the more so because of the personal effort the Secretary-General has invested in this task, and we would urge the parties to proceed with the proposed conference.",AUS,1991,un,0
AUS_46_1991.txt.47,AUS_46_1991.txt.47,"But just as we witness progress in those areas of tension on issues which have been on the United Nations agenda for some time, so new issues confront the international community.",AUS,1991,un,0
AUS_46_1991.txt.48,AUS_46_1991.txt.48,The violence now erupting in Sri Lanka and Yugoslavia is a stark reminder of the enormous difficulties which can result from social and ethnic tensions.,AUS,1991,security,0
AUS_46_1991.txt.49,AUS_46_1991.txt.49,We are all acutely conscious of how newly emergent nationalism within the borders of many existing countries around the world is creating a new set of strains end dilemmas in the conduct of international relations.,AUS,1991,security,1
AUS_46_1991.txt.50,AUS_46_1991.txt.50,The most immediate area of concern for the international community is the situation in Yugoslavia.,AUS,1991,security,1
AUS_46_1991.txt.51,AUS_46_1991.txt.51,"Australia, not least because more than 250,000 of our people have strong links of family and culture with Yugoslavia, has voiced its grave concern at the breakdown of constitutional order, the tragic loss of life and the impending threat of all-out war in that country.",AUS,1991,security,0
AUS_46_1991.txt.52,AUS_46_1991.txt.52,The conflict in Yugoslavia has certainly reached the point where the international community needs to reinforce the efforts of the European Community to resolve the crisis.,AUS,1991,security,0
AUS_46_1991.txt.53,AUS_46_1991.txt.53,Australia has accordingly asked the Security Council to take up the issue and use its influence to help bring about an end of the fighting.,AUS,1991,security,0
AUS_46_1991.txt.54,AUS_46_1991.txt.54,"There are important issues to be resolved about the future shape of Yugoslavia's republics, and in particular about the position of minorities within those republics.",AUS,1991,security,1
AUS_46_1991.txt.55,AUS_46_1991.txt.55,"These are issues that must be seriously addressed and resolved by negotiation once the fighting has stopped, but there can be no justification for resorting to force to settle them.",AUS,1991,security,0
AUS_46_1991.txt.56,AUS_46_1991.txt.56,"Unfortunately there can be no doubt that the conflict within Yugoslavia has now created a situation which is likely to endanger the maintenance of international peace and security in the region, and one which demands the attention of the United Nations.",AUS,1991,security,0
AUS_46_1991.txt.57,AUS_46_1991.txt.57,With its new and constructive role of the United Nations come certain responsibilities and the need to recognize that changes in the international environment demand changes in this Assembly's approach to regional developments.,AUS,1991,development,1
AUS_46_1991.txt.58,AUS_46_1991.txt.58,"For too long, debate and resolutions on a number of regional issues have been characterised here by outdated rhetoric.",AUS,1991,un,1
AUS_46_1991.txt.59,AUS_46_1991.txt.59,Let me make a plea to the Assembly that we might be able to consider changes to language which no longer reflects the new realities of the 1990s.,AUS,1991,un,1
AUS_46_1991.txt.60,AUS_46_1991.txt.60,"For example, Australia hopes that debate on such traditional issues as the question of Palestine and the situation in the Middle East, decolonisation and South Africa will be conducted in a fashion that acknowledges the opportunities for progress and, at least in South Africa's case, the progress already achieved.",AUS,1991,un,1
AUS_46_1991.txt.61,AUS_46_1991.txt.61,"Similarly, Australia hopes that it may be possible to rescind resolution 3379 (XXX) of 1975 equating Zionism with racism.",AUS,1991,un,1
AUS_46_1991.txt.62,AUS_46_1991.txt.62,No one can be complacent over the difficulties still ahead in the resolution of regional conflict.,AUS,1991,security,0
AUS_46_1991.txt.63,AUS_46_1991.txt.63,"We do, however, share a genuine global sense of optimism about the future role of the United Nations in peace and security matters.",AUS,1991,security,1
AUS_46_1991.txt.64,AUS_46_1991.txt.64,There are four distinct areas of United Nations activity in this regard: peace enforcement; peace-keeping; peacemaking or preventive diplomacy; and arms control and disarmament.,AUS,1991,security,0
AUS_46_1991.txt.65,AUS_46_1991.txt.65,The Gulf war was a classic case of peace enforcement by collective security measures.,AUS,1991,security,0
AUS_46_1991.txt.66,AUS_46_1991.txt.66,The founders of the United Nations recognised that it would have to have available to it as a final resort the use of force to resist aggression.,AUS,1991,security,0
AUS_46_1991.txt.67,AUS_46_1991.txt.67,"But willingness to undertake enforcement action, by itself, does not constitute a system of collective security.",AUS,1991,security,0
AUS_46_1991.txt.68,AUS_46_1991.txt.68,"Its actual use on this occasion will have a deterrent effect for the future, but the establishment of a true system of collective security also demands progress on multilateral disarmament, the development of confidence-building measures in various regions of the world and commitment to the removal, on a consistent and even-handed basis, of the root causes of conflict.",AUS,1991,security,0
AUS_46_1991.txt.69,AUS_46_1991.txt.69,"In fact, situations like Namibia and Cambodia involving peace-keeping forces are more likely than the Gulf situation to set the pattern of future United Nations action, that is, a form of peace-making activity which falls somewhere between good offices at one end of the spectrum and enforcement action on the other.",AUS,1991,security,0
AUS_46_1991.txt.70,AUS_46_1991.txt.70,"The final settlement of a dispute will be through negotiation, but often with a peace-keeping component.",AUS,1991,security,0
AUS_46_1991.txt.71,AUS_46_1991.txt.71,"Although peace-keeping operations were not originally envisaged in the Charter, they fit precisely the sort of circumstances which are likely to occur more often in the post-cold-war era.",AUS,1991,security,0
AUS_46_1991.txt.72,AUS_46_1991.txt.72,The Secretariat has done an outstanding job in this area over a number of years and I must pay tribute to the individuals involved.,AUS,1991,un,1
AUS_46_1991.txt.73,AUS_46_1991.txt.73,"There are now over 11,000 military and 3,000 civilian personnel from 54 countries serving in nine United Nations peace-keeping operations in the Middle East, the sub-continent, Cyprus, Angola and Central America.",AUS,1991,security,0
AUS_46_1991.txt.74,AUS_46_1991.txt.74,"A further 2,700 personnel are on standby, ready to be sent to the Western Sahara.",AUS,1991,un,0
AUS_46_1991.txt.75,AUS_46_1991.txt.75,"Five new peace-keeping or related operations have been approved in the first nine months of 1991 with UNTAC (United Nations Transitional Authority in Cambodia) yet to come, placing an enormous strain on those parts of the Secretariat responsible for their creation and administration.",AUS,1991,security,0
AUS_46_1991.txt.76,AUS_46_1991.txt.76,"Clearly, resources must be increased and upgraded and we welcome the appointment by the Secretary-General of the team of consultants to report on how the organisation of peace-keeping activities might be improved in the light of these expanded responsibilities.",AUS,1991,security,0
AUS_46_1991.txt.77,AUS_46_1991.txt.77,In a new climate of international cooperation it would be logical to anticipate an expanded role for the United Nations in peace-making or preventive diplomacy.,AUS,1991,security,0
AUS_46_1991.txt.78,AUS_46_1991.txt.78,The new international circumstances underline both the need and the opportunity for the United Nations to expand its hitherto successful but limited activity in this area.,AUS,1991,un,0
AUS_46_1991.txt.79,AUS_46_1991.txt.79,"More often now than previously, the United Nations must be able to identify potential conflicts, analyse their reuses and bring the parties to see the possibilities for resolution of their differences while conflicts are still only at the dispute stage.",AUS,1991,security,0
AUS_46_1991.txt.80,AUS_46_1991.txt.80,This will require both new approaches to and additional resources in the Secretariat for Information gathering and conflict resolution.,AUS,1991,security,0
AUS_46_1991.txt.81,AUS_46_1991.txt.81,"What is needed chiefly is a body of skilled and experienced staff who can not only analyse information, but develop options for action which can be presented to the Secretary-General or the Security Council.",AUS,1991,un,1
AUS_46_1991.txt.82,AUS_46_1991.txt.82,"In order to establish the conditions for a global peace, the United Nations must also intensify its work on disarmament and arms control.",AUS,1991,security,0
AUS_46_1991.txt.83,AUS_46_1991.txt.83,The Treaty on the Non-proliferation of Nuclear Weapons (NPT) and the safeguards system of the International Atomic Energy Agency are cornerstones of arms control.,AUS,1991,security,0
AUS_46_1991.txt.84,AUS_46_1991.txt.84,"Revelations about Iraq's extensive clandestine nuclear programme in violation of its NPT and safeguards obligations, the first and only such case in the history of the Treaty, have highlighted the need for an even more effective and an even more intrusive safeguards regime that can meet the challenges of the 1990s and beyond.",AUS,1991,security,0
AUS_46_1991.txt.85,AUS_46_1991.txt.85,"We have warmly welcomed the recent decisions of China, Prance, South Africa, Zambia and Tanzania to become parties to the NPT and hope that these decisions will help influence those few countries remaining outside the Treaty to re-evaluate the benefits of membership.",AUS,1991,security,1
AUS_46_1991.txt.86,AUS_46_1991.txt.86,"We also welcome the stated intention of the Democratic People's Republic of Korea to sign a safeguards agreement with the International Atomic Energy Agency, in accordance with the obligations it accepted on acceding to the NPT Treaty.",AUS,1991,security,1
AUS_46_1991.txt.87,AUS_46_1991.txt.87,"We look forward to the full, prompt and unconditional implementation of that agreement, because we remain concerned at the continued operation by the Democratic People's Republic of Korea of an unsafeguarded nuclear facility and at reports that it has been building other nuclear facilities, leaving open the question of whether it is pursuing a nuclear-weapons capability.",AUS,1991,security,
AUS_46_1991.txt.88,AUS_46_1991.txt.88,This course of action by the Democratic People's Republic of Korea is destabilising to the Korean peninsula and to the north Asian region generally.,AUS,1991,security,0
AUS_46_1991.txt.89,AUS_46_1991.txt.89,A universal and non-discriminatory register of conventional arms transfers under the auspices of the United Nations should also be established as soon as possible as an important international confidence-building measure.,AUS,1991,security,1
AUS_46_1991.txt.90,AUS_46_1991.txt.90,Australia participated in the United Nations expert group on conventional arms transfers.,AUS,1991,security,0
AUS_46_1991.txt.91,AUS_46_1991.txt.91,"With the finalization of that group's recommendations and the support by the G-7 and the P-5 for the establishment of an arms transfer register, there is now an expectation of action by the international community.",AUS,1991,security,0
AUS_46_1991.txt.92,AUS_46_1991.txt.92,The Gulf war underlined the crucial importance of a successful result to the negotiations on a chemical weapons convention.,AUS,1991,security,0
AUS_46_1991.txt.93,AUS_46_1991.txt.93,They have now entered a critical final stage.,AUS,1991,security,1
AUS_46_1991.txt.94,AUS_46_1991.txt.94,"It is clear, however, that a further intensification of effort is required.",AUS,1991,security,1
AUS_46_1991.txt.95,AUS_46_1991.txt.95,The deadline of 1992 set by the Conference on Disarmament for completing the treaty must be observed.,AUS,1991,security,0
AUS_46_1991.txt.96,AUS_46_1991.txt.96,"As I have proposed to my colleagues on the Conference on Disarmament, a meeting before too long of that Conference at the ministerial level will, in my view, be necessary to provide sufficient impetus for the negotiations and a political framework for resolving outstanding issues.",AUS,1991,security,0
AUS_46_1991.txt.97,AUS_46_1991.txt.97,"The Third Review Conference of the biological weapons Convention, held in Geneva last month, showed that there is a need for more to be done to further strengthen that important regime and, above all, to ensure that that Convention becomes universal.",AUS,1991,security,0
AUS_46_1991.txt.98,AUS_46_1991.txt.98,"In the new international environment, issues of international economic growth and development must take an even more prominent place on the agenda of the new Secretary-General.",AUS,1991,development,0
AUS_46_1991.txt.99,AUS_46_1991.txt.99,"Substantial economic progress has been made in some regions, as for example, in parts of Asia and Latin America, but great human needs exist unaddressed, particularly in parts of Africa where, unfortunately, economic and social conditions have continued to deteriorate.",AUS,1991,development,0
AUS_46_1991.txt.100,AUS_46_1991.txt.100,"In the economic forums of the United Nations system, there is increasing recognition that each nation must be responsible for promoting policies that will encourage the participation of all sections of their populations in the economic and social development processes.",AUS,1991,development,0
AUS_46_1991.txt.101,AUS_46_1991.txt.101,"Furthermore, a relationship is increasingly being noticed between human freedoms and sustained economic development.",AUS,1991,development,1
AUS_46_1991.txt.102,AUS_46_1991.txt.102,"For the benefits of rational domestic policies to be fully realised, however, the major industrialised countries must play their part.",AUS,1991,development,1
AUS_46_1991.txt.103,AUS_46_1991.txt.103,They must maintain their efforts to foster greater stability in the international economic environment and take action to remove the international barriers to economic development.,AUS,1991,development,0
AUS_46_1991.txt.104,AUS_46_1991.txt.104,"The diminution in the security threat has enabled more resources to be available for development, both in the developing world and in central and eastern Europe and the Soviet Union.",AUS,1991,development,1
AUS_46_1991.txt.105,AUS_46_1991.txt.105,But it will be important to ensure that assistance provided in eastern Europe be additional to levels of assistance to developing countries and not represent a diversion of resource flows away from them.,AUS,1991,development,0
AUS_46_1991.txt.106,AUS_46_1991.txt.106,The alleviation of poverty in the developing world remains the central humanitarian challenge.,AUS,1991,development,0
AUS_46_1991.txt.107,AUS_46_1991.txt.107,"Perhaps most crucial, however, to the economic future of developed and developing countries is the need to strengthen and liberalise the multilateral trading system, both in the achievement of a successful conclusion to the Uruguay Round and in its aftermath.",AUS,1991,development,0
AUS_46_1991.txt.108,AUS_46_1991.txt.108,The importance of such liberalization was recognized in the United Nations international development strategy for the 1990s.,AUS,1991,development,0
AUS_46_1991.txt.109,AUS_46_1991.txt.109,"Further liberalisation of trade would not only boost world economic growth, but engender the stability and confidence needed by the emerging market economies of Central and Eastern Europe and the Soviet Union, as well as providing an important stimulus to development efforts in Latin America, Asia and Africa.",AUS,1991,development,0
AUS_46_1991.txt.110,AUS_46_1991.txt.110,The issues of peace and security and of development have of course been central to the deliberations and activities of the United Nations for many years.,AUS,1991,un,1
AUS_46_1991.txt.111,AUS_46_1991.txt.111,They are issues that have demonstrated the role and functions of previous Secretaries-General and are issues that I am sure that the new Secretary-General will know well.,AUS,1991,un,0
AUS_46_1991.txt.112,AUS_46_1991.txt.112,"What is new for all of us is the emergence over just the last few years of a whole group of previously neglected issues for which international solutions are now actively being actively sought - issues, moreover, which for the most part generate quite strong feelings, are not readily susceptible to straightforward technical negotiation and settlement, and so require great skill in handling.",AUS,1991,un,1
AUS_46_1991.txt.113,AUS_46_1991.txt.113,Undoubtedly the most prominent recent addition to the new agenda has been the environment.,AUS,1991,un,1
AUS_46_1991.txt.114,AUS_46_1991.txt.114,"While from the 1970s environmental protection became an important part of the domestic political programmes of many nations, it was not perceived than by moat governments as having an urgent international dimension.",AUS,1991,development,0
AUS_46_1991.txt.115,AUS_46_1991.txt.115,"The 1980s saw a significant shift in both perceptions and reality and the United Nations Conference on Environment and Development, to be held in Brazil next year, will cast in relief the major new issues involved in the protection of the global environment in the face of the impact of climate change and increased threats to the biosphere.",AUS,1991,development,0
AUS_46_1991.txt.116,AUS_46_1991.txt.116,Every effort must be made to achieve ecologically sustainable development.,AUS,1991,development,0
AUS_46_1991.txt.117,AUS_46_1991.txt.117,"As part of this process, due attention needs to be paid to the imperatives of economic growth and for appropriate mechanisms to be established for the transfer of technology to enable developing countries to meet the challenges involved in the protection of the environment.",AUS,1991,development,0
AUS_46_1991.txt.118,AUS_46_1991.txt.118,The interrelationship between protecting the global environment and ensuring global economic development will prove to be the critical issue as the end of the century approaches.,AUS,1991,development,0
AUS_46_1991.txt.119,AUS_46_1991.txt.119,"Human rights is not, of course, a new issue.",AUS,1991,human,0
AUS_46_1991.txt.120,AUS_46_1991.txt.120,"The element of innovation lies in the way in which much past rhetoric of concern is now being translated into action, not only within the United Nations but in bodies such as the Conference on Security and Cooperation in Europe.",AUS,1991,human,1
AUS_46_1991.txt.121,AUS_46_1991.txt.121,The dramatic changes which have taken place in the Soviet Union and Eastern Europe over the last few years have been matched by a significant diminution in the abuse of human rights.,AUS,1991,human,0
AUS_46_1991.txt.122,AUS_46_1991.txt.122,"Equally there have been changes for the better in many parts of Asia, Africa and Latin America.",AUS,1991,human,1
AUS_46_1991.txt.123,AUS_46_1991.txt.123,"None the less, serious abuses continue, including in our own region - not least in Burma.",AUS,1991,human,1
AUS_46_1991.txt.124,AUS_46_1991.txt.124,We believe that further progress can be assisted through constructive dialogue of the kind that Australia actively pursues bilaterally and multilaterally.,AUS,1991,human,1
AUS_46_1991.txt.125,AUS_46_1991.txt.125,"We believe it crucial that United Nations human rights mechanisms be strengthened, and would encourage appropriate funding being provided within the United Nations system to accord resources for all human rights activities, including the 1993 World Conference on Human Rights.",AUS,1991,human,0
AUS_46_1991.txt.126,AUS_46_1991.txt.126,The global refugee problem remains as large as ever.,AUS,1991,human,0
AUS_46_1991.txt.127,AUS_46_1991.txt.127,"The challenge for Governments - and the international system - is to preserve the essential protections that must be extended to refugees while, at the same time, providing other appropriate responses and humanitarian assistance for persons displaced by other causes.",AUS,1991,human,0
AUS_46_1991.txt.128,AUS_46_1991.txt.128,"The United Nations will, regrettably, need to continue to respond to natural disasters and other large-scale humanitarian emergencies which occur around the world.",AUS,1991,human,0
AUS_46_1991.txt.129,AUS_46_1991.txt.129,"Like other countries, Australia has been concerned for some time that coordination among the various organisations involved in United Nations humanitarian emergency relief is sometimes inadequate to the need.",AUS,1991,human,0
AUS_46_1991.txt.130,AUS_46_1991.txt.130,We wish to see improved coordination of such responses.,AUS,1991,human,1
AUS_46_1991.txt.131,AUS_46_1991.txt.131,"What we need to devise in any General Assembly resolution is not some facile cosmetic response, but a carefully considered mechanism which actually works in practice.",AUS,1991,un,0
AUS_46_1991.txt.132,AUS_46_1991.txt.132,In the aftermath of the Gulf war we have seen the United Nations revisit the key question of intervention in the internal affairs of other countries.,AUS,1991,un,0
AUS_46_1991.txt.133,AUS_46_1991.txt.133,"The Charter notes explicitly that the United Nations is not authorised ""to intervene in matters which are essentially within the domestic jurisdiction of any State"".",AUS,1991,un,0
AUS_46_1991.txt.134,AUS_46_1991.txt.134,"Yet there are also basic goals in the United Nations Charter, in particular in the social and humanitarian area, which have always qualified the principle of non-intervention.",AUS,1991,un,1
AUS_46_1991.txt.135,AUS_46_1991.txt.135,The monitoring machinery successfully being developed by the Commission on Human Rights is but one example of how the balance struck between considerations of sovereignty and humanitarian imperatives has evolved.,AUS,1991,human,0
AUS_46_1991.txt.136,AUS_46_1991.txt.136,"Today we can readily endorse the Secretary-General's view in this year's annual report ""that the principle of non-interference with the essential domestic jurisdiction of States cannot be regarded as a protective barrier behind which human rights could be massively or systematically violated with impunity.""",AUS,1991,human,0
AUS_46_1991.txt.137,AUS_46_1991.txt.137,"(A/46/l, p.",AUS,1991,un,1
AUS_46_1991.txt.138,AUS_46_1991.txt.138,"10) The United Nations role in Iraq following the war, while governed by the enforcement provisions of Chapter VII of the Charter, underlined, nevertheless, that sometimes such United Nations action is needed in the face of great humanitarian emergencies which threaten international peace and security even though there may be no agreement from the Member State most directly concerned.",AUS,1991,security,1
AUS_46_1991.txt.139,AUS_46_1991.txt.139,"He are not yet at the stage where we can prescribe new activity or, indeed.",AUS,1991,un,1
AUS_46_1991.txt.140,AUS_46_1991.txt.140,Charter amendment for the United Nations to enable it greater flexibility to cope with such situations.,AUS,1991,un,0
AUS_46_1991.txt.141,AUS_46_1991.txt.141,But we have to recognize that there may be cases where a more flexible approach is in fact needed if the United Nations is to meet its global objectives successfully.,AUS,1991,un,0
AUS_46_1991.txt.142,AUS_46_1991.txt.142,"There is thus a widespread consensus that the present unwieldy Secretariat structure - the product of the conflict and compromises of the cold war and the uncoordinated responses to specific problems of the past - is not well suited to the range of tasks which Member States now expect of the United Nations and which, in the new international climate, it should be capable of performing.",AUS,1991,un,1
AUS_46_1991.txt.143,AUS_46_1991.txt.143,"It is unreasonable to impose on the incoming  Secretary-General a structure which he or she will find so much difficulty in managing, which reflects past problems, not present realities, and which the new Secretary-General, as chief administrative officer, has had no input in shaping.",AUS,1991,un,0
AUS_46_1991.txt.144,AUS_46_1991.txt.144,"Australia would thus support a resolution in the General Assembly which would sweep sway these constraints on the Secretary-General and which would, on the basis of consultation with the incoming Secretary-General, establish procedures to ensure the recruitment from all regions of the most outstanding men and women to work in the Secretariat, and set out a new basic structure for the Secretariat which would permit it to fulfil its roles in the development of policy options to assist the deliberative organs and in the implementation of their decisions.",AUS,1991,un,1
AUS_46_1991.txt.145,AUS_46_1991.txt.145,The detailed elaboration of the basic structure should be the responsibility of the Secretary-General as the United Nation's chief administrative officer.,AUS,1991,un,0
AUS_46_1991.txt.146,AUS_46_1991.txt.146,"Ultimately, it will be for Member States and for the new Secretary-General to acknowledge that if the United Nations is, indeed, to become the sort of organization which its founders foresaw, now is the time.",AUS,1991,un,0
AUS_46_1991.txt.147,AUS_46_1991.txt.147,Never since the end of the Second World War has there been so much hope.,AUS,1991,un,1
